what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1323188945777
closed,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1323188945816
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323188948153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1323188953789
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1323188959262
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.openProject",1323188963914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323188986704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323188988211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323188988588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189002189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189002438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189009195
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.sync.views.SynchronizeView",1323189010225
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1323189010598
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.repositories",1323189010994
activated,perspective,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1323189011015
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1323189011080
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.sync.views.SynchronizeView",1323189011101
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1323189014374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189020975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189021582
executed,command,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.synchronizeLast",1323189026395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189026726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189073315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189117823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323189124505
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1323189124738
